Ns,tc_norm_mean,tc_norm_var
1000,0.25305006666666663,0.0014536824827449805
1200,0.2524102777777778,0.0011991233095887148
1400,0.2521431190476191,0.0010170196658930582
1600,0.25383825,0.000898413096540718
1800,0.2532858148148148,0.0007952497441423631
2000,0.25275548333333336,0.0007110651887726814
2200,0.252580803030303,0.0006530222906215791
2400,0.2524152361111111,0.0005871883891868541
2600,0.25225162820512825,0.0005478814854102961
2800,0.25192169047619045,0.0005121925206344746
3000,0.2518754,0.00048571104298587733
3200,0.25235871875,0.00044433505585505183
3400,0.25237323529411765,0.00041448057256464484
3600,0.2521180925925926,0.00039567021125361246
3800,0.2521291842105263,0.0003745913670707306
4000,0.2517542,0.0003608520065935531
4200,0.25183079365079364,0.0003450805136185316
4400,0.2518413181818182,0.00032187152640418586
4600,0.2518752826086957,0.00030557336386527944
4800,0.2521494097222222,0.0003004490936144149
5000,0.2519393733333334,0.0002836275546591109
5200,0.2520851987179487,0.0002731171239287446
5400,0.2518569012345679,0.00026881570914717126
5600,0.2518356726190476,0.0002563259771481824
5800,0.25162801724137934,0.00024881940655701207
6000,0.25169670555555557,0.0002381611650743605
6200,0.2515614677419355,0.00023275924154435046
6400,0.25191821354166666,0.00022415796536183913
6600,0.2519790606060606,0.00021744954509105003
6800,0.25180710784313726,0.00021019705985345614
7000,0.25191375714285713,0.00020224558464146083
7200,0.25167064351851853,0.0002000275114648669
7400,0.2515740135135135,0.00019310655591447642
7600,0.2514879035087719,0.00019031231029946303
7800,0.2515726153846154,0.0001839442494517514
8000,0.2518452375,0.00017905092370355054
8200,0.25188373577235773,0.0001735961596102217
8400,0.2518046388888889,0.00016943699280148278
8600,0.2517218372093023,0.00016534034358509626
8800,0.25167722348484844,0.00015894306530016508
9000,0.25159045185185186,0.00015825974316998497
9200,0.25159179710144924,0.00015714659979193177
9400,0.2515071914893617,0.00015169384449045537
9600,0.2517439166666666,0.0001469030177464249
9800,0.25178523809523806,0.00014392012891706508
10000,0.2517432666666667,0.00014262297476138092
10200,0.2516545,0.0001419629125967982
10400,0.25142294871794874,0.00013986247764800574
10600,0.2515728301886792,0.00013467395290297504
10800,0.2515088796296296,0.00013254890855063823
